storeid,shopname,branchno,date,location,time,in-coming,out-coming
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,09:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,10:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,11:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,12:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,13:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,14:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,15:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,16:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,17:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,18:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,19:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,20:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,21:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,22:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,23:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,09:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,10:00,36,32
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,11:00,90,78
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,12:00,123,128
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,13:00,146,142
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,14:00,196,199
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,15:00,217,205
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,16:00,232,230
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,17:00,209,204
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,18:00,187,192
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,19:00,168,179
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,20:00,124,125
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,21:00,40,50
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,22:00,0,9
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,23:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,09:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,10:00,7,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,11:00,7,8
deca,Decathlon Rishon,deca,06/02/2021,all entrances,12:00,7,8
deca,Decathlon Rishon,deca,06/02/2021,all entrances,13:00,7,8
deca,Decathlon Rishon,deca,06/02/2021,all entrances,14:00,7,8
deca,Decathlon Rishon,deca,06/02/2021,all entrances,15:00,7,8
deca,Decathlon Rishon,deca,06/02/2021,all entrances,16:00,7,8
deca,Decathlon Rishon,deca,06/02/2021,all entrances,17:00,0,8
deca,Decathlon Rishon,deca,06/02/2021,all entrances,18:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,19:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,20:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,21:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,22:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,23:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,09:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,10:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,11:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,12:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,13:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,14:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,15:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,16:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,17:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,18:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,19:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,20:00,0,0
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,21:00,140,100
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,22:00,276,261
ISR018,18 Dizengof ISR018,ISR018,06/02/2021,all entrances,23:00,156,183
