storeid,shopname,branchno,date,location,time,in-coming,out-coming
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,01:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,02:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,03:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,04:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,05:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,06:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,07:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,08:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,09:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,10:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,11:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,12:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,13:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,14:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,15:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,16:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,17:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,18:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,19:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,20:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,21:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,22:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,23:00:00,0,0
BSGNY,BUSSIGNY,BSGNY,06/02/2021,all entrances,00:00:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,01:00:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,02:00:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,03:00:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,04:00:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,05:00:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,06:00:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,07:00:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,08:00:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,09:00:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,10:00:00,36,32
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,11:00:00,90,78
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,12:00:00,123,128
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,13:00:00,146,142
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,14:00:00,196,199
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,15:00:00,217,205
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,16:00:00,232,230
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,17:00:00,209,204
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,18:00:00,187,192
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,19:00:00,168,179
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,20:00:00,124,125
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,21:00:00,40,50
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,22:00:00,0,9
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,23:00:00,0,0
CZE010,NIKE CHODOV,CZE010,06/02/2021,all entrances,00:00:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,01:00:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,02:00:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,03:00:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,04:00:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,05:00:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,06:00:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,07:00:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,08:00:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,09:00:00,0,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,10:00:00,7,0
deca,Decathlon Rishon,deca,06/02/2021,all entrances,11:00:00,7,8
deca,Decathlon Rishon,deca,06/02/2021,all entrances,12:00:00,7,8
deca,Decathlon Rishon,deca,06/02/2021,all entrances,13:00:00,7,8
deca,Decathlon Rishon,deca,06/02/2021,all entrances,14:00:00,7,8
